world:
data:
-Present,9001

entities:

//Snails
-3,1400,64
-3,1800,64
-3,2300,64
-3,2800,64
-3,3000,64
-3,3150,64
-3,150,64

tiles:

//Dirt for evil plant section
-7,1800,60
-7,1800,124


//Lanterns
-12,200,60
-12,700,60
-12,1200,60

//Platforms
-8,520,240
-8,620,320
-8,700,320
-8,780,320
-8,860,320
-8,940,320

//Thistle plants blocking the way
-13,500,60
-13,540,60
-13,700,60
-13,800,60
-13,900,60
-13,1100,60
-13,1200,60

//For evil plant section
-13,1900,60
-13,2100,60
-13,2664,60
-13,2728,60

background:
-2,3,6,1


world:
data:
-Past,9002

entities:

//Snail
-3,100,100

//Evil plants
-4,1800,64
-4,2400,124

tiles:

//Stone for evil plant section
-3,2400,60
-3,2490,60
-3,2490,120
-3,2490,180

//flag
-3,3000,60
-6,3000,124

//Platforms
-4,1020,320
-4,1100,320
-4,1180,320
-4,1260,320

//Lava vents
-11,300,60
-11,500,60
-11,564,60

background:
-5,9,8,10
